WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
1/01/2010 9:00,8,151,23,0.1,1014.6,1018.1,1018.2,0,43.3,7,813,23.6,27,26.9,25.4,10,20.98
1/01/2010 9:10,8.7,161,28,0.1,1014.6,1018.1,1018.2,0,44.4,6,845,23.7,26.9,26.9,25.4,10,21.37
1/01/2010 9:20,8.9,176,21,0.2,1014.6,1018.1,1018.2,0,43.4,6,906,23.8,26.9,26.9,25.4,9,21.96
1/01/2010 9:30,8.3,143,25,0.1,1014.6,1018,1018.2,0,40.1,6,906,23.9,26.8,26.9,25.4,10,22.53
27/03/2010 21:30,14.3,187,23,0,1013.4,1016.9,1017,0,75,6,13,26,26.3,26.7,26.6,11,18.9
27/03/2010 21:40,14.3,189,21,0,1013.4,1016.9,1017,0,75.2,6,19,25.9,26.3,26.8,26.6,10,18.87
27/03/2010 21:50,14.3,182,24,0,1013.6,1017.1,1017.2,0,74.9,6,18,25.8,26.3,26.7,26.6,10,18.93
27/03/2010 22:00,14.3,186,26,0,1013.8,1017.3,1017.4,0,74.2,6,18,25.7,26.3,26.7,26.6,10,18.99
27/03/2010 22:10,14.1,184,21,0,1013.9,1017.4,1017.5,0,73.3,6,12,25.7,26.3,26.7,26.6,11,19.01
17/08/2010 19:10,11.3,171,13,0,1002.9,1006.4,1006.5,0,97.8,0,16,15.1,14.4,14.4,15.2,0,11.69
17/08/2010 19:20,11.2,169,10,0,1003.1,1006.6,1006.7,0,97.8,2,14,15,14.4,14.4,15.2,5,11.54
17/08/2010 19:30,11,188,8,0,1003.2,1006.7,1006.8,0,97.9,2,20,14.9,14.4,14.4,15.2,4,11.36
17/08/2010 19:40,10.8,184,15,0,1003.5,1007,1007.1,0,97.9,3,20,14.8,14.4,14.5,15.2,6,11.13
17/08/2010 19:50,10.7,197,16,0,1003.7,1007.2,1007.3,0,97.9,3,9,14.7,14.3,14.5,15.2,5,11.11